ticker,source,sector,exchange,flag,as_of
SPCX,seed,unknown,NASDAQ,fresh-ipo,2026-08-28
T,seed,Communications,NYSE,,2026-08-28
TE,seed,unknown,NYSE,small,2026-08-28
TSLA,seed,Consumer Durables,NASDAQ,,2026-08-28
VZ,seed,Communications,NYSE,,2026-08-28
WMT,seed,Retail Trade,NASDAQ,,2026-08-28
WULF,seed,Technology Services,NASDAQ,,2026-08-28
ABBV,fill_dvol,Health Technology,NYSE,,2026-08-28
ABT,fill_dvol,Health Technology,NYSE,,2026-08-28
ACN,fill_dvol,Technology Services,NYSE,,2026-08-28
ADBE,fill_dvol,Technology Services,NASDAQ,,2026-08-28
ADI,fill_dvol,Electronic Technology,NASDAQ,,2026-08-28
ALAB,fill_dvol,Electronic Technology,NASDAQ,,2026-08-28
AMAT,fill_dvol,Producer Manufacturing,NASDAQ,,2026-08-28
ANET,fill_dvol,Electronic Technology,NYSE,,2026-08-28
APH,fill_dvol,Electronic Technology,NYSE,,2026-08-28
APP,fill_dvol,Technology Services,NASDAQ,,2026-08-28
ASTS,fill_dvol,Communications,NASDAQ,,2026-08-28
AXP,fill_dvol,Finance,NYSE,,2026-08-28
BA,fill_dvol,Electronic Technology,NYSE,,2026-08-28
BE,fill_dvol,Electronic Technology,NYSE,,2026-08-28
BKNG,fill_dvol,Consumer Services,NASDAQ,,2026-08-28
BRK.B,fill_dvol,Finance,NYSE,,2026-08-28
C,fill_dvol,Finance,NYSE,,2026-08-28
CAT,fill_dvol,Producer Manufacturing,NYSE,,2026-08-28
COHR,fill_dvol,Electronic Technology,NYSE,,2026-08-28
COIN,fill_dvol,Finance,NASDAQ,,2026-08-28
COST,fill_dvol,Retail Trade,NASDAQ,,2026-08-28
CRDO,fill_dvol,Technology Services,NASDAQ,,2026-08-28
CRM,fill_dvol,Technology Services,NYSE,,2026-08-28
CRWD,fill_dvol,Technology Services,NASDAQ,,2026-08-28
CVX,fill_dvol,Energy Minerals,NYSE,,2026-08-28
DASH,fill_dvol,Transportation,NASDAQ,,2026-08-28
DDOG,fill_dvol,Technology Services,NASDAQ,,2026-08-28
DELL,fill_dvol,Electronic Technology,NYSE,,2026-08-28
DIS,fill_dvol,Consumer Services,NYSE,,2026-08-28
ETN,fill_dvol,Producer Manufacturing,NYSE,,2026-08-28
FCX,fill_dvol,Non-Energy Minerals,NYSE,,2026-08-28
FTNT,fill_dvol,Technology Services,NASDAQ,,2026-08-28
GE,fill_dvol,Electronic Technology,NYSE,,2026-08-28
GEV,fill_dvol,Producer Manufacturing,NYSE,,2026-08-28
GILD,fill_dvol,Health Technology,NASDAQ,,2026-08-28
GLW,fill_dvol,Electronic Technology,NYSE,,2026-08-28
GS,fill_dvol,Finance,NYSE,,2026-08-28
HD,fill_dvol,Retail Trade,NYSE,,2026-08-28
HON,fill_dvol,Electronic Technology,NASDAQ,,2026-08-28
IBM,fill_dvol,Technology Services,NYSE,,2026-08-28
INTU,fill_dvol,Technology Services,NASDAQ,,2026-08-28
ISRG,fill_dvol,Health Technology,NASDAQ,,2026-08-28
JNJ,fill_dvol,Health Technology,NYSE,,2026-08-28
JPM,fill_dvol,Finance,NYSE,,2026-08-28
KLAC,fill_dvol,Electronic Technology,NASDAQ,,2026-08-28
KO,fill_dvol,Consumer Non-Durables,NYSE,,2026-08-28
LIN,fill_dvol,Process Industries,NASDAQ,,2026-08-28
LITE,fill_dvol,Producer Manufacturing,NASDAQ,,2026-08-28
LLY,fill_dvol,Health Technology,NYSE,,2026-08-28
LRCX,fill_dvol,Producer Manufacturing,NASDAQ,,2026-08-28
MA,fill_dvol,Finance,NYSE,,2026-08-28
MCD,fill_dvol,Consumer Services,NYSE,,2026-08-28
MDT,fill_dvol,Health Technology,NYSE,,2026-08-28
META,fill_dvol,Technology Services,NASDAQ,,2026-08-28
MRK,fill_dvol,Health Technology,NYSE,,2026-08-28
MS,fill_dvol,Finance,NYSE,,2026-08-28
NBIS,fill_dvol,Technology Services,NASDAQ,,2026-08-28
NEE,fill_dvol,Utilities,NYSE,,2026-08-28
NET,fill_dvol,Technology Services,NYSE,,2026-08-28
NOW,fill_dvol,Technology Services,NYSE,,2026-08-28
PANW,fill_dvol,Technology Services,NASDAQ,,2026-08-28
PEP,fill_dvol,Consumer Non-Durables,NASDAQ,,2026-08-28
PG,fill_dvol,Consumer Non-Durables,NYSE,,2026-08-28
QCOM,fill_dvol,Electronic Technology,NASDAQ,,2026-08-28
RTX,fill_dvol,Electronic Technology,NYSE,,2026-08-28
SCHW,fill_dvol,Finance,NYSE,,2026-08-28
SHOP,fill_dvol,Commercial Services,NASDAQ,,2026-08-28
SNDK,fill_dvol,Electronic Technology,NASDAQ,,2026-08-28
SNOW,fill_dvol,Technology Services,NYSE,,2026-08-28
SPGI,fill_dvol,Commercial Services,NYSE,,2026-08-28
SPOT,fill_dvol,Technology Services,NYSE,,2026-08-28
STX,fill_dvol,Electronic Technology,NASDAQ,,2026-08-28
SYK,fill_dvol,Health Technology,NYSE,,2026-08-28
TER,fill_dvol,Electronic Technology,NASDAQ,,2026-08-28
TJX,fill_dvol,Retail Trade,NYSE,,2026-08-28
TMUS,fill_dvol,Communications,NASDAQ,,2026-08-28
TXN,fill_dvol,Electronic Technology,NASDAQ,,2026-08-28
UBER,fill_dvol,Transportation,NYSE,,2026-08-28
UNH,fill_dvol,Health Services,NYSE,,2026-08-28
V,fill_dvol,Finance,NYSE,,2026-08-28
VRT,fill_dvol,Electronic Technology,NYSE,,2026-08-28
WDAY,fill_dvol,Technology Services,NASDAQ,,2026-08-28
WDC,fill_dvol,Electronic Technology,NASDAQ,,2026-08-28
WELL,fill_dvol,Finance,NYSE,,2026-08-28
WFC,fill_dvol,Finance,NYSE,,2026-08-28
XOM,fill_dvol,Energy Minerals,NYSE,,2026-08-28
BABA,screen,,,,2026-08-28
TSM,screen,,,,2026-08-28
