ticker,source,in_sp500_ever
TJX,sp500,yes
TKO,sp500,yes
TLT,etf,no
TMK,sp500,yes
TMO,sp500,yes
TMUS,sp500,yes
TPL,sp500,yes
TPR,sp500,yes
TRGP,sp500,yes
TRIP,sp500,yes
TRMB,sp500,yes
TROW,sp500,yes
TRV,sp500,yes
TSCO,sp500,yes
TSLA,sp500,yes
TSN,sp500,yes
TSS,sp500,yes
TT,sp500,yes
TTD,sp500,yes
TTWO,sp500,yes
TWC,sp500,yes
TWTR,sp500,yes
TWX,sp500,yes
TXN,sp500,yes
TXT,sp500,yes
TYL,sp500,yes
UA,sp500,yes
UAA,sp500,yes
UAL,sp500,yes
UBER,sp500,yes
UDR,sp500,yes
UHS,sp500,yes
ULTA,sp500,yes
UNH,sp500,yes
UNM,sp500,yes
UNP,sp500,yes
UPS,sp500,yes
URBN,sp500,yes
URI,sp500,yes
USB,sp500,yes
UTX,sp500,yes
V,sp500,yes
VAR,sp500,yes
VEEV,sp500,yes
VFC,sp500,yes
VIAB,sp500,yes
VIAC,sp500,yes
VICI,sp500,yes
VLO,sp500,yes
VLTO,sp500,yes
VMC,sp500,yes
VNO,sp500,yes
VNT,sp500,yes
VRSK,sp500,yes
VRSN,sp500,yes
VRT,sp500,yes
VRTX,sp500,yes
VST,sp500,yes
VTR,sp500,yes
VTRS,sp500,yes
VZ,sp500,yes
WAB,sp500,yes
WAT,sp500,yes
WBA,sp500,yes
WBD,sp500,yes
WCG,sp500,yes
WDAY,sp500,yes
WDC,sp500,yes
WE,hand,no
WEC,sp500,yes
WELL,sp500,yes
WFC,sp500,yes
WFM,sp500,yes
WHR,sp500,yes
WISH,hand,no
WLTW,sp500,yes
WM,sp500,yes
WMB,sp500,yes
WMT,sp500,yes
WRB,sp500,yes
WRK,sp500,yes
WSM,sp500,yes
WST,sp500,yes
WTW,sp500,yes
WU,sp500,yes
WULF,seed,no
WY,sp500,yes
WYND,sp500,yes
WYNN,sp500,yes
XEC,sp500,yes
XEL,sp500,yes
XL,sp500,yes
XLB,etf,no
XLC,etf,no
XLE,etf,no
XLF,etf,no
XLI,etf,no
XLK,etf,no
XLNX,sp500,yes
XLP,etf,no
XLRE,etf,no
XLU,etf,no
XLV,etf,no
XLY,etf,no
XOM,sp500,yes
XRAY,sp500,yes
XRX,sp500,yes
XYL,sp500,yes
XYZ,sp500,yes
YUM,sp500,yes
ZBH,sp500,yes
ZBRA,sp500,yes
ZION,sp500,yes
ZTS,sp500,yes
